"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient"
2017-10-20,2.8708,0.3779,37.5125,24.2917,74,18.9583,1.6792,7
2017-10-21,2.3875,0.3108,46.0417,19.8333,74.7917,14.75,0.5125,NA
2017-10-22,3.5792,0.4567,54.5,31.125,314.0769,16.5833,0.6208,NA
2017-10-23,5.7143,0.6759,50.1364,41.8261,92.2857,29.5789,2.0579,8
2017-10-24,3.7417,0.5579,52.3333,43.75,108.625,23.7375,2.1292,18
2017-10-25,4.2292,0.4925,54.9583,38.375,92.9167,18.3625,1.45,2
2017-10-26,4.7792,0.5271,48.2875,37.75,90.3333,22.2917,1.0875,9
2017-10-27,3.1583,0.4125,46.1208,29.375,90.4167,20.125,0.9417,6
2017-10-28,3.4,0.3941,45.2917,34.9167,85.125,15.3,0.4389,NA
2017-10-29,2.8625,0.4196,51.2083,45,130.25,20.1667,0.9375,NA
2017-10-30,3.7783,0.4555,38.0588,33.25,142.5,25.5217,1.4609,6
2017-10-31,3.4917,0.3562,42.2583,23.6087,76.7391,25.4913,3.187,23
2017-11-01,3.4333,0.3904,51.4583,25.4167,70.9167,17.6708,1.2167,3
2017-11-02,3.4667,0.4558,42.375,29.2917,69.7917,21.9583,0.9625,8
2017-11-03,2.8,0.3775,30.3083,30,75.8333,19.0833,1.6167,3
2017-11-04,3.0458,0.4221,41.4583,30.9583,104.3333,20,1.1042,NA
2017-11-05,3.8708,0.4121,39.4167,24.5,75.0417,19.7083,1.0417,NA
2017-11-06,4.1333,0.8558,24.1417,56.7368,112.2917,39.25,3.675,3
2017-11-07,2.6917,0.4671,36.6875,50.8333,93.7917,19.2417,1.2958,9
2017-11-08,2.8667,0.4054,35.6958,40.75,98.375,18.9,1.205,3
2017-11-09,3.0083,0.4496,45.6667,40.7083,81.3333,16.7333,2.0292,6
2017-11-10,3.5542,0.4829,38.1917,51.5417,116.625,19.4083,1.9667,10
2017-11-11,2.6833,0.5833,17.05,71.125,119.25,22.7917,1.8625,NA
2017-11-12,1.7375,0.5475,15.0042,30.625,61.7083,18.3333,1.925,NA
2017-11-13,2.575,0.5425,16.875,32.3333,63.5417,23.9167,3.3333,3
2017-11-14,2.5625,0.4958,33.925,49.7917,87.5,21.2583,2.0625,18
2017-11-15,4.5083,0.5262,33.5375,45.4583,90.625,23.875,2.975,4
2017-11-16,4.2917,0.5479,48.8083,54.7273,89.2609,20.775,3.1792,12
2017-11-17,3.5458,0.5237,39.5167,54,79.4167,21.3208,1.7375,11
2017-11-18,3.3667,0.4312,34.3125,42.1667,99.0417,18.825,1.2083,NA
2017-11-19,3.4625,0.4121,30.2042,21.9167,59.5417,17.4792,1.3542,1
2017-11-20,3.7333,0.4308,23.3542,32.25,90.5417,22.75,2.5167,3
