"date","SO2","CO","O3","PM2.5","PM10","NO2","NO","patient","allergy","hives","RH","TEMP","rain","WS_HR","WWIND","WIND","time"
2017-04-19,5.3381038647343,0.337916666666667,36.7896135265701,28.9094065656566,56.1714015151515,13.173547979798,2.21840277777778,8,0,8,75.4340277777778,27.8506944444444,0.201388888888889,1.77708333333333,2.05694444444444,2.05694444444444,70
2017-04-20,4.46373792270531,0.270045289855072,20.7538798309179,14.5108695652174,32.8022342995169,11.3017330917874,3.33259222661397,6,5,1,68.6597222222222,27.3784722222222,0,1.71076388888889,2.05520833333333,2.05520833333333,71
2017-04-21,3.09987922705314,0.209236111111111,17.897297705314,13.21875,31.34375,8.72803520452977,2.54998490338164,10,2,8,71.15625,28.0833333333333,0,1.58333333333333,1.90798611111111,1.90798611111111,72
2017-04-24,3.49747474747475,0.592048611111111,41.4398399758454,27.9270833333333,77.5069444444444,18.368501984127,2.08360745614035,7,3,4,75.9861111111111,24.5451388888889,0.0180555555555556,1.21423611111111,1.56701388888889,1.56701388888889,73
2017-04-25,5.6975496031746,0.602949879227053,53.1121829710145,45.1770833333333,107.534406565657,19.9513888888889,1.73388888888889,16,11,5,71.4930555555556,26.4756944444444,0,1.19340277777778,1.45763888888889,1.45763888888889,74
2017-04-26,4.67414440457204,0.47350910110421,38.5532196969697,45.3652146464646,62.3784722222222,14.2917337768441,2.27550186741363,5,0,5,72.3784722222222,27.9895833333333,0,1.66631944444444,2.07673611111111,2.07673611111111,75
2017-04-27,4.14301026570048,0.390119047619048,29.3600241545894,25.2677139037433,52.176452020202,16.5125103292652,2.67764985380117,10,6,4,76.9097222222222,25.1388888888889,0.0131944444444444,1.38472222222222,2.15972222222222,2.15972222222222,76
2017-04-28,4.17996996567506,0.385190433057281,47.5318538647343,19.4097222222222,44.6979166666667,15.938219870328,2.28958937198068,9,3,6,68.09375,22.3055555555556,0.00763888888888889,1.42881944444444,2.01388888888889,2.01388888888889,77
2017-05-02,5.50416666666667,0.387673611111111,41.3854166666667,27.3150527009223,56.4207839262187,14.4798115079365,2.27789855072464,33,17,16,65.75,27.8263888888889,0,1.50034722222222,1.75347222222222,1.75347222222222,78
2017-05-03,6.27083333333333,0.391111111111111,38.0229166666667,30.7430555555556,61.2569444444444,14.7138888888889,2.14444444444444,2,1,1,71.5972222222222,28.3611111111111,0.0111111111111111,1.47118055555556,1.76701388888889,1.76701388888889,79
2017-05-04,5.37986111111111,0.358333333333333,36.4493055555556,30.203373015873,61.1284722222222,13.6183121980676,1.95763888888889,10,7,3,70.5486111111111,28.7083333333333,0,1.52013888888889,1.84166666666667,1.84166666666667,80
2017-05-05,6.01805555555556,0.384131944444444,38.371875,36.5104166666667,62.0069444444444,13.8713905357927,1.91701388888889,12,4,8,70.1493055555556,28.8854166666667,0,1.45868055555556,1.68611111111111,1.68611111111111,81
2017-05-08,4.84861111111111,0.306354166666667,28.8173611111111,26.1408945824707,45.9949494949495,11.61875,2.996875,3,1,2,68.8784722222222,28.7152777777778,0.000694444444444444,1.71944444444444,2.04166666666667,2.04166666666667,82
2017-05-09,3.85534722222222,0.230979166666667,16.2016224747475,11.193287037037,31.375,9.85556652046784,3.58766865079365,15,5,10,68.2,29.0548611111111,0,1.921875,2.23006944444444,2.23006944444444,83
2017-05-10,5.10567632850242,0.336308876811594,34.0673926767677,22.1828200483092,182.382151029748,13.6780744949495,2.64925595238095,5,3,2,66.8229166666667,29.0173611111111,0.000694444444444444,1.42256944444444,1.76319444444444,1.76319444444444,84
2017-05-11,5.77152777777778,0.345590277777778,39.8166666666667,27.2530193236715,53.2770229468599,13.8899305555556,1.89965277777778,6,4,2,67.8333333333333,29.4618055555556,0,1.47291666666667,1.79166666666667,1.79166666666667,85
2017-05-12,5.50606617647059,0.26312908496732,17.2505310457516,14.0265151515152,47.8311237373737,10.3797867063492,2.94677287581699,8,2,6,66.7173202614379,29.8966503267974,0,2.2984885620915,2.55545343137255,2.55545343137255,86
